FinalCustomerName,Segment,BU,DU,Month,Revenue
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Apr,13861.62606108
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,8213.5909155
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,May,9494.53245328
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,PRODUCT LIFECYCLE MGMT,Apr,-0.008125430000177378
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Apr,148105.92593151
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,Jun,153776.77728453
A1,Plant Engineering,DIGITAL MANUFACTURING SERVICES,SMART MANUFACTURING & SOURCING,May,126023.20918304
A1,Plant Engineering,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Apr,12297.2695249
A1,Plant Engineering,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,Jun,23714.067455
A1,Plant Engineering,DIGITAL PRODUCTS & SERVICES,DIGITAL PE & MOBILITY,May,27257.94124778
A1,Plant Engineering,FMCG,FMCG,Apr,31368.092508120004
A1,Plant Engineering,FMCG,FMCG,Jun,58242.98473484
A1,Plant Engineering,FMCG,FMCG,May,49363.35232224
A1,Plant Engineering,FMCG,PSCG,Apr,2018887.4838333
A1,Plant Engineering,FMCG,PSCG,Jun,2082667.3153296001
A1,Plant Engineering,FMCG,PSCG,May,2069122.98731002
A1,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,Apr,4026.963108
A1,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,Jun,2875.77656189
A1,Plant Engineering,INTEGRATED ASSET MGMT,INTEGRATED ASSET MGMT,May,4026.963108
A1,Plant Engineering,SYSTEM INTEGRATION,SI - ENTERPRISES - LTTS,Apr,0.18688488999964492
